Product Name,Active Ingredient,Application Type,Product Registrant,Date of Approval,Registration No.
"XOLAIR SOLUTION FOR INJECTION IN PRE-FILLED PEN 75MG/0.5ML,XOLAIR SOLUTION FOR INJECTION IN PRE-FILLED PEN 150MG/1.0ML,XOLAIR SOLUTION FOR INJECTION IN PRE-FILLED PEN 300MG/2.0ML","Omalizumab(75.00 mg/0.5 mL),Omalizumab(150.00 mg/1.0 mL),Omalizumab(300.00 mg / 2.0 mL)",NDA-2: New presentationNDA-3: New strengths,NOVARTIS (SINGAPORE) PTE LTD,21/06/2024,"SIN17030P,SIN17031P,SIN17032P"
XOLAIR SOLUTION FOR INJECTION IN PRE-FILLED SYRINGE 300MG/2.0ML,Omalizumab(300.00 mg/2.0 mL),NDA-3: New strength,NOVARTIS (SINGAPORE) PTE LTD,21/06/2024,SIN17029P
AREXVY POWDER AND SUSPENSION FOR SUSPENSION FOR INJECTION 120MCG/0.5ML,RSVPreF3 antigen(120mcg/0.5mL),NDA-1: New biological entity,GLAXOSMITHKLINE PTE LTD,10/05/2024,SIN17008P
BESREMI SOLUTION FOR INJECTION IN PREFILLED SYRINGE 500 MICROGRAMS/ML,Ropeginterferon alfa-2b(500 µg/mL),NDA-1: New biological entity,PHARMAESSENTIA SINGAPORE PTE. LTD,29/05/2024,SIN17014P
"COMIRNATY, DISPERSION FOR INJECTION, 10 MICROGRAMS/DOSE (SINGLE-DOSE VIAL),COMIRNATY, DISPERSION FOR INJECTION, 30 MICROGRAMS/DOSE (SINGLE-DOSE VIAL)","Raxtozinameran(10 ?g/dose),Raxtozinameran(30 mcg/dose)",NDA-2: New presentation,BIONTECH PHARMACEUTICALS ASIA PACIFIC PTE. LTD.,31/05/2024,"SIN17017P,SIN17016P"
"INHIXA SOLUTION FOR INJECTION 6000 ANTI-XA IU (60MG)/0.6ML,INHIXA SOLUTION FOR INJECTION 4000 ANTI-XA IU (40MG)/0.4ML,INHIXA SOLUTION FOR INJECTION 2000 ANTI-XA IU (20MG)/0.2ML","Enoxaparin Sodium(6000 IU (60 MG)/0.6 ML),Enoxaparin Sodium(4000 IU (40 MG)/0.4 ML),Enoxaparin Sodium(2000 IU (20 MG)/0.2 ML)",NDA-3: New strength,PHARMAZEN MEDICALS PTE LTD,07/05/2024,"SIN16997P,SIN16998P,SIN16999P"
"LUNSUMIO CONCENTRATE FOR SOLUTION FOR INFUSION 1MG/ML,LUNSUMIO CONCENTRATE FOR SOLUTION FOR INFUSION 30MG/30ML","Mosunetuzumab(1 mg/ml),Mosunetuzumab(30 mg/30 ml)",NDA-1: New biological entityNDA-3: new strengths,ROCHE SINGAPORE PTE. LTD.,08/05/2024,"SIN17001P,SIN17002P"
VELSIPITY FILM-COATED TABLET 2 MG,Etrasimod L-arginine eqv Etrasimod(2 mg),NDA-1: New chemical entity,PFIZER PRIVATE LIMITED,30/05/2024,SIN17015P
"IMOVAX D.T., SUSPENSION FOR INJECTION IN 0.5 ML PRE-FILLED SYRINGE","Purified Diphtheria Toxoid(? 2 IU/ 0.5 mL),Purified Tetanus Toxoid(? 20   IU/ 0.5mL)",NDA-2: New strength/combination,SANOFI-AVENTIS SINGAPORE PTE. LTD.,30/04/2024,SIN16995P
LEDAGA TOPICAL GEL 160 ?G /G,Chlormethine hydrochloride equivalent to Chlormethine(160 ?g /g ),NDA-1: New chemical entity,JUNIPER BIOLOGICS PTE LTD,15/04/2024,SIN16986P
NEXVIAZYME POWDER FOR CONCENTRATE FOR SOLUTION FOR INFUSION 100MG/VIAL,AVALGLUCOSIDASE ALFA(100mg/vial),NDA-1: New chemical entity,SANOFI-AVENTIS SINGAPORE PTE. LTD.,24/04/2024,SIN16989P
"TANSTRIVE HARD CAPSULES 40MG,TANSTRIVE HARD CAPSULES 80MG","Selpercatinib(40.0mg),Selpercatinib(80.0mg)",NDA-1: New chemical entityNDA-3: New strength,DKSH SINGAPORE PTE. LTD.,24/04/2024,"SIN16990P,SIN16991P"
COLUMVI CONCENTRATE FOR SOLUTION FOR INFUSION 1MG/ML,Glofitamab(1 mg/ml),NDA-1: New biological entity,ROCHE SINGAPORE PTE. LTD.,05/03/2024,SIN16968P
"JYSELECA FILM-COATED TABLET 100MG,JYSELECA FILM-COATED TABLET 200MG","Filgotinib maleate eqv filgotinib(100 mg),Filgotinib maleate eqv filgotinib(200 mg)",NDA-1: New chemical entityNDA-3: New strength,EISAI (SINGAPORE) PTE. LTD.,27/03/2024,"SIN16980P,SIN16981P"
NEFEGAN MODIFIED RELEASE CAPSULE 4MG,Budesonide(4.00 mg),NDA-2: New formulation,EVEREST MEDICINES (SINGAPORE) PTE. LTD.,19/03/2024,SIN16972P
SKIIP NICOTINE MINI LOZENGE 4 MG (MINT),Nicotine Polacrilex eqv to Nicotine(4.00 mg),NDA-3: New strength,RUBICON RESEARCH PRIVATE LIMITED,13/03/2024,SIN16971P
EYBELIS-S OPHTHALMIC SOLUTION 0.002%W/V,Omidenepag isopropyl(0.02 mg/mL),NDA-2: New formulation,SANTEN PHARMACEUTICAL ASIA PTE. LTD.,19/02/2024,SIN16951P
SIDAPVIA FIXED DOSE COMBINATION TABLET 10 MG/100 MG,"Dapagliflozin propanediol monohydrate eqv Dapagliflozin(10mg), Sitagliptin phosphate monohydrate eqv Sitagliptin(100mg)",NDA-2: New dosage form,ASTRAZENECA SINGAPORE PTE LTD,20/02/2024,SIN16958P
SOTYKTU FILM-COATED TABLETS 6 MG,Deucravacitinib(6.00 mg),NDA-1: New chemical entity,BRISTOL-MYERS SQUIBB (SINGAPORE) PTE. LTD.,04/02/2024,SIN16939P
"TECVAYLI SOLUTION FOR INJECTION 10MG/ML,TECVAYLI SOLUTION FOR INJECTION 90MG/ML","Teclistamab(10mg/mL),Teclistamab(90mg/mL)",NDA-1: New biological entityNDA-3: New strength,JOHNSON & JOHNSON INTERNATIONAL (SINGAPORE) PTE LTD,16/02/2024,"SIN16948P,SIN16949P"
VAXNEUVANCE® SUSPENSION FOR INJECTION,"(MBC) Pneumococcal Polysaccharide Serotype 1 conjugated to CRM197(2?g),(MBC) Pneumococcal Polysaccharide Serotype 14 conjugated to CRM197(2?g),(MBC) Pneumococcal Polysaccharide Serotype 18C conjugated to CRM197(2?g),(MBC) Pneumococcal Polysaccharide Serotype 19A conjugated to CRM197(2?g),(MBC) Pneumococcal Polysaccharide Serotype 19F conjugated to CRM197(2?g),(MBC) Pneumococcal Polysaccharide Serotype 22F conjugated to CRM197(2?g),(MBC) Pneumococcal Polysaccharide Serotype 23F conjugated to CRM197(2?g),(MBC) Pneumococcal Polysaccharide Serotype 3 conjugated to CRM197(2?g),(MBC) Pneumococcal Polysaccharide Serotype 33F conjugated to CRM197(2?g),(MBC) Pneumococcal Polysaccharide Serotype 4 conjugated to CRM197(2?g),(MBC) Pneumococcal Polysaccharide Serotype 5 conjugated to CRM197(2?g),(MBC) Pneumococcal Polysaccharide Serotype 6A conjugated to CRM197(2?g),(MBC) Pneumococcal Polysaccharide Serotype 6B conjugated to CRM197(4?g),(MBC) Pneumococcal Polysaccharide Serotype 7F conjugated to CRM197(2?g),(MBC) Pneumococcal Polysaccharide Serotype 9V conjugated to CRM197(2?g)",NDA-1: New biological entity,MSD PHARMA (SINGAPORE) PTE. LTD.,07/02/2024,SIN16944P
GENCEBOK SOLUTION FOR INFUSION 10MG/ML,Caffeine Citrate(10.00mg/ml),NDA-2,AXXESSBIO PTE. LTD.,16/01/2024,SIN16929P
LUMIGAN PF (BIMATOPROST OPHTHALMIC SOLUTION) 0.03%,Bimatoprost(0.3 mg/mL),NDA-2,ABBVIE PTE. LTD.,30/01/2024,SIN16938P
COMIRNATY ORIGINAL/OMICRON BA.4-5 CONCENTRATE FOR DISPERSION FOR INJECTION 5/5 MICROGRAMS/DOSE (MDV),"Famtozinameran(5 ?g/dose),Tozinameran(5 ?g/dose)",NDA-2: New combination,BIONTECH PHARMACEUTICALS ASIA PACIFIC PTE. LTD.,18/12/2023,SIN16915P
"LIPOCOMB HARD CAPSULE 20MG/10MG,LIPOCOMB HARD CAPSULE 10MG/10MG","EZETIMIBE (10.00mg), ROSUVASTATIN ZINC EQV ROSUVASTATIN (20.00mg),EZETIMIBE (10.00mg), ROSUVASTATIN ZINC EQV ROSUVASTATIN (10.00mg)",NDA-2: New combination,SERVIER (S) PTE LTD,21/12/2023,"SIN16919P, SIN16920P"
"NGENLA SOLUTION FOR INJECTION IN A PRE-FILLED PEN 24 MG/1.2ML,NGENLA SOLUTION FOR INJECTION IN A PRE-FILLED PEN 60 MG/1.2ML","Somatrogon(24mg/1.2ml),Somatrogon(60mg/1.2ml)",NDA-1: New biological entityNDA-3: Subsequent strength,PFIZER PRIVATE LIMITED,14/12/2023,"SIN16911P, SIN16912P"
PLUVICTO SOLUTION FOR INJECTION/INFUSION 1000 MBQ/ML,Lutetium (177 Lu) vipivotide tetraxetan (1000 MBq/mL),NDA-1: New chemical entity,NOVARTIS (SINGAPORE) PTE LTD,18/12/2023,SIN16917P
"TRECONDI POWDER FOR SOLUTION FOR INFUSION 5 G PER VIAL,TRECONDI POWDER FOR SOLUTION FOR INFUSION 1 G PER VIAL","Treosulfan (5 g / vial),Treosulfan (1 g / vial)",NDA-1: New chemical entityNDA-3: Subsequent strength,LINK HEALTHCARE SINGAPORE PTE LTD,26/12/2023,"SIN16922P, SIN16923P"
TRELEGY ELLIPTA INHALATION POWDER 200 MCG/62.5 MCG/25 MCG,"FLUTICASONE FUROATE (MICRONISED)(200 MCG),UMECLIDINIUM BROMIDE (MICRONISED) EQV TO UMECLIDINIUM(62.5 MCG),VILANTEROL TRIFENATATE (MICRONISED) EQV TO VILANTEROL(25 MCG)",NDA-2: New presentation,GLAXOSMITHKLINE PTE LTD,15/12/2023,SIN16914P
ADRENALINE AGUETTANT SOLUTION FOR INJECTION IN PRE-FILLED SYRINGE 0.1 MG/ML,Adrenaline tartrate equivalent to adrenaline (0.1 mg/ml),NDA-2: New formulation / strength,AGUETTANT ASIA PACIFIC PTE. LTD.,07/11/2023,SIN16897P
AKYNZEO® IV CONCENTRATE FOR SOLUTION FOR INFUSION 235 MG/0.25 MG/VIAL,"Fosnetupitant Chloride Hydrochloride equivalent to Fosnetupitant (235mg/vial), Palonosetron hydrochloride equivalent to Palonosetron (0.25 mg/vial)",NDA-1: New chemical entity,JUNIPER BIOLOGICS PTE LTD,28/11/2023,SIN16899P
"LOCAMETZ 25 MICROGRAMS, KIT FOR RADIOPHARMACEUTICAL PREPARATION OF GALLIUM (68GA) GOZETOTIDE SOLUTION",Gozetotide (25?g/vial),NDA-1: New chemical entity,NOVARTIS (SINGAPORE) PTE LTD,30/11/2023,SIN16904P
TRAZHER (TRASTUZUMAB) POWDER FOR CONCENTRATE FOR SOLUTION FOR INFUSION 420MG/VIAL,Trastuzumab (420 mg/vial),NDA-3: New pack size,INNOGENE KALBIOTECH PTE. LTD.,22/11/2023,SIN16898P
GOOFICE FILM-COATED TABLET 5MG,Elobixibat,NDA-1: New chemical entity,EISAI (SINGAPORE) PTE. LTD.,02/10/2023,SIN16878P
PAXLOVID FILM-COATED TABLETS,"Nirmatrelvir, Ritonavir",NDA-1: New chemical entity(Transition from PSAR to marketing authorisation),PFIZER PRIVATE LIMITED,02/10/2023,SIN16877P
SPIKEVAX BIVALENT ORIGINAL/OMICRON BA.4-5(50 MICROGRAMS/50 MICROGRAMS)/ML DISPERSION FOR INJECTION,"Elasomeran, Davesomeran",NDA-1: New biological entity,MODERNA BIOTECH SINGAPORE PTE. LTD.,11/10/2023,SIN16881P
SPEVIGOCONCENTRATE FOR SOLUTION FOR INFUSION 450 MG/7.5 ML,Spesolimab,NDA-1: New biological entity,BOEHRINGER INGELHEIM SINGAPORE PTE. LTD.,12/10/2023,SIN16883P
"NUVAXOVID DISPERSION FOR INJECTION COVID-19 VACCINE 5µG/DOSE (RECOMBINANT, ADJUVANTED)",SARS-CoV-2 recombinant Spike Protein (rS),NDA-1: New biological entity,PHARMENG TECHNOLOGY PTE LTD,17/10/2023,SIN16886P
PERIOLIMEL N4E EMULSION FOR INFUSION,"(Compartment 1) Alanine 3.66g/L(Compartment 1) Arginine 2.48g/L(Compartment 1) Aspartic Acid 0.73g/L(Compartment 1) Glutamic Acid 1.26g/L(Compartment 1) Glycine 1.76g/L(Compartment 1) Histidine 1.51g/L(Compartment 1) Isoleucine 1.26g/L(Compartment 1) Leucine 1.76g/L(Compartment 1) Lysine Acetate eqv Lysine 1.99g/L(Compartment 1) Magnesium Chloride Hexahydrate 0.45g/L(Compartment 1) Methionine 1.26g/L(Compartment 1) Phenylalanine 1.76g/L(Compartment 1) Potassium Chloride 1.19g/L(Compartment 1) Proline 1.51g/L(Compartment 1) Serine 1.00g/L(Compartment 1) Sodium Acetate Trihydrate 1.16g/L(Compartment 1) Sodium Glycerophosphate, Hydrated 1.91g/L(Compartment 1) Threonine 1.26g/L(Compartment 1) Tryptophan 0.42g/L(Compartment 1) Tyrosine 0.06g/L(Compartment 1) Valine 1.62g/L(Compartment 2) Calcium Chloride Dihydrate 0.30g/L(Compartment 2) Glucose Monohydrate eqv Glucose Anhydrous 75.0g/L(Compartment 3) Refined Olive Oil + Soya-bean Oil (80:20) 30g/L",NDA-2: New combination,BAXTER HEALTHCARE (ASIA) PTE LTD,20/10/2023,SIN16888P
OLIMEL N7E EMULSION FOR INFUSION,"(Compartment 1) Alanine 6.41g/L(Compartment 1) Arginine 4.34g/L(Compartment 1) Aspartic Acid 1.28g/L(Compartment 1) Glutamic Acid 2.21g/L(Compartment 1) Glycine 3.07g/L(Compartment 1) Histidine 2.64g/L(Compartment 1) Isoleucine 2.21g/L(Compartment 1) Leucine 3.07g/L(Compartment 1) Lysine Acetate eqv Lysine 3.48g/L(Compartment 1) Magnesium Chloride Hexahydrate 0.81g/L(Compartment 1) Methionine 2.21g/L(Compartment 1) Phenylalanine 3.07g/L(Compartment 1) Potassium Chloride 2.24g/L(Compartment 1) Proline 2.64g/L(Compartment 1) Serine 1.75g/L(Compartment 1) Sodium Acetate Trihydrate 1.50g/L(Compartment 1) Sodium Glycerophosphate, Hydrated 3.67g/L(Compartment 1) Threonine 2.21g/L(Compartment 1) Tryptophan 0.74g/L(Compartment 1) Tyrosine 0.11g/L(Compartment 1) Valine 2.83g/L(Compartment 2) Calcium Chloride Dihydrate 0.52g/L(Compartment 2) Glucose Monohydrate eqv Glucose Anhydrous 140g/L(Compartment 3) Refined Olive Oil + Soya-bean Oil (80:20) 40g/L",NDA-3: Line extension,BAXTER HEALTHCARE (ASIA) PTE LTD,20/10/2023,SIN16889P
OLIMEL N9E EMULSION FOR INFUSION,"(Compartment 1) Alanine 8.24g/L(Compartment 1) Arginine 5.58g/L(Compartment 1) Aspartic Acid 1.65g/L(Compartment 1) Glutamic Acid 2.84g/L(Compartment 1) Glycine 3.95g/L(Compartment 1) Histidine 3.40g/L(Compartment 1) Isoleucine 2.84g/L(Compartment 1) Leucine 3.95g/L(Compartment 1) Lysine Acetate eqv Lysine 4.48g/L(Compartment 1) Magnesium Chloride Hexahydrate 0.81g/L(Compartment 1) Methionine 2.84g/L(Compartment 1) Phenylalanine 3.95g/L(Compartment 1) Potassium Chloride 2.24g/L(Compartment 1) Proline 3.40g/L(Compartment 1) Serine 2.25g/L(Compartment 1) Sodium Acetate Trihydrate 1.50g/L(Compartment 1) Sodium Glycerophosphate, Hydrated 3.67g/L(Compartment 1) Threonine 2.84g/L(Compartment 1) Tryptophan 0.95g/L(Compartment 1) Tyrosine 0.15g/L(Compartment 1) Valine 3.64g/L(Compartment 2) Calcium Chloride Dihydrate 0.52g/L(Compartment 2) Glucose Monohydrate eqv Glucose Anhydrous 110.0g/L(Compartment 3) Refined Olive Oil + Soya-bean Oil (80:20) 40g/L",NDA-3: Line extension,BAXTER HEALTHCARE (ASIA) PTE LTD,20/10/2023,SIN16890P
SKIIP NICOTINE MINI LOZENGE 2MG (MINT),Nicotine Polacrilex,NDA-2: New salt /dosage form,RUBICON RESEARCH PRIVATE LIMITED,30/10/2023,SIN16895P
COMIRNATY ORIGINAL/OMICRON BA.4-5 DISPERSION FOR INJECTION 15/15 MICROGRAMS/DOSE (MULTI-DOSE VIAL)COMIRNATY ORIGINAL/OMICRON BA.4-5 DISPERSION FOR INJECTION 15/15 MICROGRAMS/DOSE (SINGLE-DOSE VIAL),Tozinameran / Famtozinameran,NDA-1: New biological entityNDA-2: New dosage form,BIONTECH PHARMACEUTICALS ASIA PACIFIC PTE. LTD.,07/09/2023,"SIN16855P, SIN16856P"
ANDROGEL GEL 16.2MG/G,Testosterone,"NDA-2: New formulation, strength",PHARMED IMPORT & EXPORT PTE LTD,07/09/2023,SIN16857P
BONJESTA EXTENDED-RELEASE TABLETS 20MG/20MG,"Doxylamine Succinate, Pyridoxine Hydrochloride","NDA-2: New formulation, dosing regimen",UNITED ITALIAN TRADING CORPORATION (PRIVATE) LIMITED,18/09/2023,SIN16865P
KIRSTY™ SOLUTION FOR INJECTION IN VIAL 100 UNITS/MLKIRSTY™ SOLUTION FOR INJECTION IN PRE-FILLED PEN 100 UNITS/ML,Insulin aspart (rDNA origin),NDA-2: Biosimilar,MYLAN PHARMACEUTICALS PTE. LTD.,20/09/2023,"SIN16867P, SIN16868P"
SKYRIZI CONCENTRATE FOR SOLUTION FOR INFUSION 600MG/10MLSKYRIZI SOLUTION FOR INJECTION IN PRE-FILLED CARTRIDGE WITH ON-BODY INJECTOR 360MG/2.4ML,Risankizumab,"NDA-2: New presentation, strength, indication, dosing regimen",ABBVIE PTE. LTD.,27/09/2023,"SIN16869P, SIN16870P"
OCREVUS CONCENTRATE FOR SOLUTION FOR INFUSION 300MG/10ML,Ocrelizumab,NDA-1: New chemical entity,ROCHE SINGAPORE PTE LTD,28/09/2023,SIN16871P
CALQUENCE FILM-COATED TABLET 100MG,Acalabrutinib,NDA-2: New dosage form,ASTRAZENECA SINGAPORE PTE LTD,29/09/2023,SIN16875P
NAGLAZYME CONCENTRATE FOR SOLUTION FOR INFUSION,Galsulfase,NDA-1: New biological entity,PHARM-D SINGAPORE PRIVATE LIMITED,11/08/2023,SIN16831P
ABILIFY MAINTENA POWDER AND SOLVENT FOR PROLONGED RELEASE SUSPENSION FOR INJECTION IN PFS 400 MG,Aripiprazole,NDA-2: New dosage form,LUNDBECK SINGAPORE PTE LTD,14/08/2023,SIN16832P
ABILIFY MAINTENA POWDER AND SOLVENT FOR PROLONGED RELEASE SUSPENSION FOR INJECTION IN PFS 400 MG,Aripiprazole,NDA-2: New dosage form,LUNDBECK SINGAPORE PTE LTD,14/08/2023,SIN16832P
SPIKEVAX 0.2 mg/mL DISPERSION FOR INJECTION,Elasomeran,NDA-1: New biological entity(Transition from PSAR to marketing authorisation),MODERNA BIOTECH SINGAPORE PTE. LTD.,17/08/2023,SIN16834P
SPIKEVAX 0.1 mg/mL DISPERSION FOR INJECTION,Elasomeran,NDA-2: New strength(Transition from PSAR to marketing authorisation),MODERNA BIOTECH SINGAPORE PTE. LTD.,17/08/2023,SIN16835P
GALLIAPHARM RADIONUCLIDE GENERATOR 0.74 – 1.85 GBq,Germanium (68Ge) chloride; Gallium (68Ga) chloride,NDA-1: New chemical entity,LABGISTICS ASIA PTE LTD,23/08/2023,SIN16844P
IMJUDO CONCENTRATE FOR SOLUTION FOR INFUSION 20MG/ML,Tremelimumab,NDA-1: New biological entity,ASTRAZENECA SINGAPORE PTE LTD,25/08/2023,SIN16845P
SELENIUM AGUETTANT CONCENTRATE FOR SOLUTION FOR INFUSION 10 MCG/ML,Sodium Selenite,NDA-2: New presentation,AGUETTANT ASIA PACIFIC PTE. LTD.,27/08/2023,SIN16847P
OPDUALAG CONCENTRATE FOR SOLUTION FOR INFUSION 240MG/80MG,Nivolumab/relatlimab,NDA-1: New biological entity,BRISTOL-MYERS SQUIBB (SINGAPORE) PTE. LTD.,31/08/2023,SIN16852P
"RHOPRESSA OPHTHALMIC SOLUTION, STERILE 0.02%",Netarsudil mesylate,NDA-1: New chemical entity,SANTEN PHARMACEUTICAL ASIA PTE LTD,4/7/2023,SIN16816P
"ROCKLATAN OPHTHALMIC SOLUTION, STERILE 0.02%/0.005%",Netarsudil mesylate/Latanoprost,NDA-2: New combination,SANTEN PHARMACEUTICAL ASIA PTE LTD,4/7/2023,SIN16818P
TEZSPIRE SOLUTION FOR INJECTION 210MG (PRE-FILLED SYRINGE),Tezepelumab,NDA-1: New chemical entity,ASTRAZENECA SINGAPORE PTE LTD,4/7/2023,SIN16815P
TEZSPIRE SOLUTION FOR INJECTION 210MG (PRE-FILLED PEN),Tezepelumab,NDA-2: New presentation,ASTRAZENECA SINGAPORE PTE LTD,4/7/2023,SIN16817P
BRAFTOVI HARD CAPSULE 50 MG AND 75 MG,Encorafenib,NDA-1/3: New chemical entity and strength,ZUELLIG PHARMA PTE. LTD.,19/7/2023,SIN16824P and SIN16825P
MEKTOVI FILM-COATED TABLET 15MG,Binimetinib,NDA-1: New chemical entity,ZUELLIG PHARMA PTE. LTD.,19/7/2023,SIN16826P
VITRAKVI ORAL SOLUTION 20MG/ML,Larotrectinib sulfate eqv Larotrectinib,NDA-2: New formulation,Bayer (South East Asia) Pte Ltd,28/7/2023,SIN16827P
SONDELBAY INJECTION 20 MCG/80 MCL,Teriparatide,NDA-2: Biosimilar,ACCORD HEALTHCARE PRIVATE LIMITED,01/06/2023,SIN16802P
CAMZYOS CAPSULES 2.5MGCAMZYOS CAPSULES 5MGCAMZYOS CAPSULES 10MGCAMZYOS CAPSULES 15MG,Mavacamten,NDA-1: New chemicalNDA-3: New strength,LIANBIO DEVELOPMENT (SG) PTE. LTD.,14/06/2023,"SIN16804P, SIN16805P, SIN16806P, SIN16807P"
VEGZELMA CONCENTRATE FOR SOLUTION FOR INFUSION 25 MG/ML,Bevacizumab,NDA-2: Biosimilar,CELLTRION HEALTHCARE SINGAPORE PRIVATE LIMITED,16/06/2023,SIN16810P
NUCALA SOLUTION FOR INJECTION IN PRE-FILLED SYRINGE 40MG/0.4ML,Mepolizumab,NDA-2: New strength / indication / dosing regimen,GLAXOSMITHKLINE PTE LTD,19/06/2023,SIN16811P
ELELYSO POWDER FOR CONCENTRATE FOR SOLUTION FOR INFUSION 200 UNITS/ VIAL,Taliglucerase alfa,NDA-1: New biological entity,PFIZER PRIVATE LIMITED,03/05/2023,SIN16770P
ZEPOSIA CAPSULE 0.92MGZEPOSIA CAPSULES TREATMENT INITIATION PACK,Ozanimod Hydrochloride,NDA-1: New chemical entityNDA-2: New strength,BRISTOL-MYERS SQUIBB (SINGAPORE) PTE. LTD,17 May 2023,"SIN16785P, SIN16786P"
"BERIPLAST P COMBI-SET POWDERS AND SOLVENTS FOR SEALANT 1.0ML, 3.0ML",1.0mlVial 1: Factor XIII 60IU/mLVial 1: Fibrinogen: 90mg/mLVial 2: Aprotinin solution 1000KIU/mLVial 3: Thrombin 500IU/mLVial 4: Calcium chloride dihydrate 5.9mg/mL3.0mlVial 1: Factor XIII 180IU/mLVial 1: Fibrinogen: 270mg/mLVial 2: Aprotinin solution 3000KIU/mLVial 3: Thrombin 1500IU/mLVial 4: Calcium chloride dihydrate 17.7mg/mL,"NDA-2/3: New product containing a currently registered entity, new strength",CSL BEHRING PTE. LTD.,10/05/2023,"SIN16775P, SIN16776P"
GAVRETO HARD CAPSULE 100MG,Pralsetinib,NDA-1,ROCHE SINGAPORE PTE LTD,06 April 2023,SIN16755P
ALBUMIN SG INJECTION 20%,Human serum albumin,NDA-2,THE REG CONSULTANTS PTE LTD,20 April 2023,SIN16765P
IMMUNOGLOBULIN SG INJECTION 50MG/ML,Human immunoglobulin G,NDA-2,THE REG CONSULTANTS PTE LTD,20 April 2023,SIN16766P
DEXDOR CONCENTRATE FOR SOLUTION FOR INFUSION 100 MICROGRAMS/ML,Dexmedetomidine,NDA-2,ORION PHARMA (SG) PTE. LTD.,25 April 2023,SIN16767P
ZINC AGUETTANT CONCENTRATE FOR SOLUTION FOR INJUSION 1MG/ML,Zinc gluconate equivalent to elemental zinc,NDA-2,AGUETTANT ASIA PACIFIC PTE LTD,25 April 2023,SIN16768P
QINLOCK TABLET 50 MG,Ripretinib,NDA-1,SPECIALISED THERAPEUTICS ASIA PTE LTD,28 April 2023,SIN16769P
"MOUNJARO INJECTION 2.5MG/0/5ML, 5MG/0.5ML, 7.5MG/0.5ML, 10MG/0.5ML, 12.5MG/0.5ML AND 15MG/0.5ML",Tirzepatide,NDA-1: New chemical entityNDA-3: New strength,DKSH SINGAPORE PTE. LTD.,01/03/2023,"SIN16714P, SIN16716P, SIN16717P, SIN16718P, SIN16719P AND SIN16720P"
BREZTRI AEROSPHERE PRESSURISED INHALATION SUSPENSION 160 MCG/7.2 MCG/5 MCG PER ACTUATION,"Budesonide, glycopyrronium, formoterol",NDA-2: New combination,ASTRAZENECA SINGAPORE PTE LTD,01/03/2023,SIN16723P
