No.,No. Rujukan,No. Pendaftaran MAL,Nama Produk, Pemegang,Pengilang,Tempoh Pendaftaran,nan,Catatan
13,202010024314N,MAL201260 45NC,MEGALIVE BEAUVIE CAPSULE,"MEGALIVE BIOSCIENCES SDN BHD,","ESPRIT CARE SDN BHD,",14/12/2020,14/12/2025,New Product Registration
14,202010144345N,MAL201260 46NC,HOLISTICA AGENOL CAPSULE,"ELDON HEALTHCARE SDN. BHD., JOHOR","QD HERBS SDN. BHD.,",14/12/2020,14/12/2025,New Product Registration
15,202010264411N,MAL201260 47NC,BSM NAC 600MG PLUS TABLET,"BIO-SCIENCE MARKETING SDN. BHD.,","YANLING NATURAL HYGIENE SDN. BHD.,",14/12/2020,14/12/2025,New Product Registration
16,202010214382N,MAL201260 48NCR,EUROBIO® BIO- LIQUICAL D PLUS MAGNESIUM SOFT VEGETABLE CAPSULE,"EUROBIO SDN BHD,","CATALENT ITALY S.P.A, ITALY",14/12/2020,14/12/2025,New Product Registration
17,202008144121N,MAL201260 49N,LUMIERE DE MELON PLUS CAPSULE,"ASCEND BIOXEUTICAL SDN BHD,","EXCEL HERBAL INDUSTRIES SDN. BHD.,",14/12/2020,14/12/2025,New Product Registration
18,202010164365N,MAL201260 50NC,JH NUTRITION OSTEORIGHT TABLET,"JASE HEALTHCARE SDN. BHD.,","ESPRIT CARE SDN BHD,",14/12/2020,14/12/2025,New Product Registration
19,202010094331N,MAL201260 51NC,MEGALIVE HNS GLO CAPSULE,"MEGALIVE BIOSCIENCES SDN BHD,","ESPRIT CARE SDN BHD,",14/12/2020,14/12/2025,New Product Registration
20,202008174131N,MAL201260 52N,PROGYMS IMMUGOAL PROBIOTICS+ CAPSULE,"PROGYMS BIOPHARMA SDN BHD,","PROGYMS BIOPHARMA SDN BHD,",14/12/2020,14/12/2025,New Product Registration
21,202005263755N,MAL201260 53NC,FOREVER CALCIUM PLUS TABLET,"FOREVER LIVING PRODUCTS (M) SDN. BHD.,","FOREVER NUTRACEUTICA L, L.L.C, UNITED STATES",14/12/2020,14/12/2025,New Product Registration
22,202011104469N,MAL201260 54NC,CAMERON BIOSCIENCE BROWN SEAWEED EXTRACT + VITAMIN K PLUS VEGETABLE SOFTGEL,"CAMERON BIOSCIENCE (M) SDN BHD, SELANGOR","ALPHA LABORATORIES (NZ) LTD., NEW ZEALAND",14/12/2020,14/12/2025,New Product Registration
23,202011104471N,MAL201260 55NC,CAMERON BIOSCIENCE COQ10 + VITAMIN E + ZINC PLUS SOFTGEL,"CAMERON BIOSCIENCE (M) SDN BHD, SELANGOR","ALPHA LABORATORIES (NZ) LTD., NEW ZEALAND",14/12/2020,14/12/2025,New Product Registration
24,202008214152N,MAL201260 56NC,STEMREGEN CAPSULE,"BIDARI VENTURE SDN BHD,","UNIWELL LABORATORIES LLC, UNITED STATES",14/12/2020,14/12/2025,New Product Registration
25,202010144340N,MAL201260 57NC,CRYSTAL SNOW L- GLUTATHIONE PLUS POWDER,"FEREENA BEAUTY & HEALTH SDN BHD,","DZR PHARMA MANUFACTURE SDN. BHD,",14/12/2020,14/12/2025,New Product Registration
26,202010274421N,MAL201260 58N,HMS CONCEPT CoQ-10 PLUS CAPSULE,"HMS CONCEPT SDN. BHD,","ESPRIT CARE SDN. BHD,",14/12/2020,14/12/2025,New Product Registration
27,202011104468N,MAL201260 59NC,CAMERON BIOSCIENCE VITAMIN C 1000MG PLUS FILM COATED TABLET,"CAMERON BIOSCIENCE (M) SDN BHD,","ALPHA LABORATORIE S (NZ) LTD, NEW ZEALAND",14/12/2020,14/12/2025,New Product Registration
28,202008274172N,MAL201260 60NC,EPOSOFT EPO PLUS SOFT CAPSULE,"JLY HEALTHCARE SDN BHD,","CONTRACT MANUFACTUR ING AND PACKAGING SERVICES PTY LTD, AUSTRALIA",14/12/2020,14/12/2025,New Product Registration
29,202008034059T,MAL201260 62T,KO DA YU NU JIAN EXTRACT GRANULE,"HENDA NATURAL SDN BHD, SELAGOR","KO DA PHARMACEUTIC AL CO LTD, TAIWAN",14/12/2020,14/12/2025,New Product Registration
30,202005143729T,MAL201260 63T,XIN QING SHU YI QI SAN “C.F.T.”,"CHUAN FENG TANG PHARMACEUTICAL (M) SDN BHD, KUALA LUMPUR","CHUAN FENG TANG PHARMACEUTI CAL CO LTD, TAIWAN",14/12/2020,14/12/2025,New Product Registration
31,202005143730T,MAL201260 64T,TAO REN CHENG QI TANG EXTRACT GRANULES “C.F.T.”,"CHUAN FENG TANG PHARMACEUTICAL (M) SDN BHD, KUALA LUMPUR","CHUAN FENG TANG PHARMACEUTIC AL CO LTD, TAIWAN",14/12/2020,14/12/2025,New Product Registration
32,202007173980T,MAL201260 65T,NATURE'S GREEN BA ZHENG TABLETS,"TONG JUM CHEW (M) SDN BHD, JOHOR","TONG JUM CHEW PTE LTD, SINGAPORE",14/12/2020,14/12/2025,New Product Registration
33,202008034054T,MAL201260 66T,KO DA LIANG GE SAN EXTRACT GRANULE,"HENDA NATURAL SDN BHD, SELANGOR","KO DA PHARMACEUTI CAL CO LTD, TAIWAN",14/12/2020,14/12/2025,New Product Registration
34,202005143716T,MAL201260 67T,"XIANG SHA LIU JUN ZI TANG EXTRACT GRANULES ""C.F.T.""","CHUAN FENG TANG PHARMACEUTICAL (M) SDN BHD, KUALA LUMPUR","CHUAN FENG TANG PHARMACEUTIC AL CO LTD, TAIWAN",14/12/2020,14/12/2025,New Product Registration
35,202007284030T,MAL201260 68T,KO DA QING FEI TANG EXTRACT GRANULES,"HENDA NATURAL SDN BHD, SELANGOR","KO DA PHARMACEUTI CAL CO LTD, TAIWAN",14/12/2020,14/12/2025,New Product Registration
36,202008034060T,MAL201260 69T,KO DA ZHU YE SHI GAO TANG EXTRACT GRANULE,"HENDA NATURAL SDN BHD, SELANGOR","KO DA PHARMACEUTIC AL CO LTD, TAIWAN",14/12/2020,14/12/2025,New Product Registration
37,202008224155T,MAL201260 70T,KO DA ZHU LING TANG EXTRACT GRANULE,"HENDA NATURAL SDN BHD, SELANGOR","KO DA PHARMACEUTI CAL CO LTD, TAIWAN",14/12/2020,14/12/2025,New Product Registration
38,202005283764T,MAL201260 71T,BU TIAN DA ZAO WAN QU ZI HE CHE “C.F.T.”,"CHUAN FENG TANG PHARMACEUTICAL (M) SDN BHD, KUALA LUMPUR","CHUAN FENG TANG PHARMACEUTIC AL CO LTD, TAIWAN",14/12/2020,14/12/2025,New Product Registration
39,202006093818T,MAL201260 72T,QIONG GUI JIAO AI TANG EXTRACT GRANULES ‘C.F.T’,"CHUAN FENG TANG PHARMACEUTICAL (M) SDN BHD, KUALA LUMPUR","CHUAN FENG TANG PHARMACEUTI CAL CO LTD, TAIWAN",14/12/2020,14/12/2025,New Product Registration
40,202005143720T,MAL201260 73T,YU QUAN WAN EXTRACT GRANULES “C.F.T.”,"CHUAN FENG TANG PHARMACEUTICAL (M) SDN BHD, KUALA LUMPUR","CHUAN FENG TANG PHARMACEUTIC AL CO LTD, TAIWAN",14/12/2020,14/12/2025,New Product Registration
41,202005143725T,MAL201260 74T,WU ZHU YU YANG EXTRACT GRANULES “C.F.T.”,"CHUAN FENG TANG PHARMACEUTICAL (M) SDN BHD, KUALA LUMPUR","CHUAN FENG TANG PHARMACEUTI CAL (M) SDN BHD, KUALA LUMPUR",14/12/2020,14/12/2025,New Product Registration
42,202008224154T,MAL201260 75T,KO DA CANG ER SAN EXTRACT GRANULE,"HENDA NATURAL SDN BHD, SELANGOR","KO DA PHARMACEUTIC AL CO LTD, TAIWAN",14/12/2020,14/12/2025,New Product Registration
43,202007173982T,MAL201260 76T,NATURE’S GREEN POLYGONUM PLUS TABLETS,"TONG JUM CHEW (M) SDN BHD, JOHOR","TONG JUM CHEW PTE LTD, SINGAPORE",14/12/2020,14/12/2025,New Product Registration
44,202008034056T,MAL201260 77T,KO DA BA ZHEN TANG EXTRACT GRANULE,"HENDA NATURAL SDN BHD, SELANGOR","KO DA PHARMACEUTIC AL CO LTD, TAIWAN",14/12/2020,14/12/2025,New Product Registration
45,202006113822T,MAL201260 78T,WHP XUAN CLENZ CAPSULE,"WHITE HERON PHARMACEUTICAL SDN BHD, KUALA LUMPUR","WHITE HERON PHARMACEUTIC AL SDN BHD, KUALA LUMPUR",14/12/2020,14/12/2025,New Product Registration
46,202008144126T,MAL201260 79TC,HUACHI KAPSUL SELESEMA,"PEMBEKALAN UBAT HUATHAI SDN BHD, JOHOR","WAN YEEN TRADING SDN BHD, PERAK",14/12/2020,14/12/2025,New Product Registration
47,202007073935T,MAL201260 80TC,HURIX’S SALAP SERAI WANGI PLUS,"JIN BIN CORPORATION SDN BHD, KEDAH","J.B. PHARMACY GROUP SDN BHD, KEDAH",14/12/2020,14/12/2025,New Product Registration
48,202009044218T,MAL201260 81T,VITAHERB OLEALIV CF CAPSULE,"WINWA MEDICAL SDN BHD, PULAU PINANG","WINWA MEDICAL SDN BHD, PULAU PINANG",14/12/2020,14/12/2025,New Product Registration
49,202008184137T,MAL201260 82TCR,NUTRINLIFE URIWISE CAPSULE,"BIOFUNCTION MARKETING SDN BHD, SELANGOR","HEALTH GENESIS CORPORATION, UNITED STATES",14/12/2020,14/12/2025,New Product Registration
50,202008184134T,MAL201260 83TC,KHENG HENG MAO DAN TUI RE LU,"KHENG HENG MEDICAL (M) SDN BHD, SELANGOR","SHANGHAI CHATLIN PHARMACEUTIC AL COMPANY, SELANGOR",14/12/2020,14/12/2025,New Product Registration
51,202009104228T,MAL201260 84TC,BSM CIWEL CAPSULE,"BIO-SCIENCE MARKETING SDN BHD, KUALA LUMPUR","HERBAL SCIENCE SDN BHD, SELANGOR",14/12/2020,14/12/2025,New Product Registration
52,202007173985T,MAL201260 85T,SEJAGAT COMMON COLD & FEVER CAPSULE,"NMY MANUFACTURING SDN BHD, SELANGOR","NMY MANUFACTURI NG SDN BHD, SELANGOR",14/12/2020,14/12/2025,New Product Registration
53,202007073930T,MAL201260 86TC,MEGALIVE DUGARD CAPSULE,"MEGALIVE BIOSCIENCES SDN BHD, KEDAH","HERBAL SCIENCE SDN BHD, SELANGOR",14/12/2020,14/12/2025,New Product Registration
54,202001133286T,MAL201260 87T,HT CARE MANSENTIAL CAPSULE,"THE ORIGIN FOODS SDN BHD, SELANGOR","THE ORIGIN FOODS SDN BHD, SELANGOR",14/12/2020,14/12/2025,New Product Registration
55,202007234006T,MAL201260 88T,MEDITON HEMOX CAPSULE,"WHITE HERON PHARMACEUTICAL SDN BHD, KUALA LUMPUR","WHITE HERON PHARMACEUTIC AL SDN BHD, KUALA LUMPUR",14/12/2020,14/12/2025,New Product Registration
56,202007213991T,MAL201260 89TC,CSL BADU PIMPLE PATCH,"SYARIKAT NANG HIN TRADING SDN BHD, SELANGOR","HUI HUNG PHARMACEUTIC AL CO LTD, TAIWAN",14/12/2020,14/12/2025,New Product Registration
57,202007013918T,MAL201260 90TC,DS PHARMA PILES CAPSULE,"FEREENA BEAUTY & HEALTH SDN BHD, KEDAH","DS PHARMA HERBS SDN BHD, KEDAH",14/12/2020,14/12/2025,New Product Registration
58,202008284177T,MAL201260 91TC,NUTRIVIBOTS MEMOTREX CAPSULE,"BIO-SCIENCE MARKETING SDN BHD, KUALA LUMPUR","GN NEUTRICEUTICA LS SDN BHD, SELANGOR",14/12/2020,14/12/2025,New Product Registration
59,202009074221T,MAL201260 92TC,CELLOFIT CAPSULE,"CAPETOWN WONDER SDN BHD, KUALA LUMPUR","REISHILAB SDN BHD, SELANGOR",14/12/2020,14/12/2025,New Product Registration
60,202008214151T,MAL201260 93T,MEHTA’S VOICIL COUGH LOZENGES (RASPBERRY FLAVOUR),"SYNERCAM (M) SDN BHD, SELANGOR","MEHTA HERBALS PVT LTD, INDIA",14/12/2020,14/12/2025,New Product Registration
61,202008124109T,MAL201260 94T,YUNG KIEN S GANODERMA (TABLET),"SHUANG HOR ENTERPRISE (M) SDN BHD, KUALA LUMPUR","YUNG KIEN INDUSTRIAL CORPORATION, TAIWAN",14/12/2020,14/12/2025,New Product Registration
62,202006223868T,MAL201260 95TC,ELJAN KAPSUL JAMU WANITA,"HALWAMADU MANUFACTURING, KELANTANG","SERI MH UMMI SDN BHD, KELANTAN",14/12/2020,14/12/2025,New Product Registration
63,202008064082T,MAL201260 96TC,ELLE-DE-ELLOW CAPSULE,"BIO-SCIENCE MARKETING SDN BHD, KUALA LUMPUR","HERBAL SCIENCE SDN BHD, SELANGOR",14/12/2020,14/12/2025,New Product Registration
64,202008074084T,MAL201260 97T,TAMA MOVEFLEX CAPSULE,"ESPRIT CARE SDN BHD, SELANGOR","ESPRIT CARE SDN BHD, SELANGOR",14/12/2020,14/12/2025,New Product Registration
65,202007284031T,MAL201260 98TC,NIU SHANG TIE DA WAN (SHANGHAI BRAND),"KHENG HENG MEDICAL (M) SDN BHD, SELANGOR",SEANG WAN MANUFACTURI NG SDN BHD,14/12/2020,14/12/2025,New Product Registration
66,202005223754T,MAL201260 99TC,HURIX'S MINYAK ANGIN GAMAT PLUS,"JIN BIN CORPORATION SDN BHD, KEDAH","J.B. PHARMACY GROUP SDN BHD, KEDAH",14/12/2020,14/12/2025,New Product Registration
67,202003033507T,MAL201261 00T,VITAHERB ELDERBERRY PLUS SYRUP (ORIGINAL FLAVOUR),"WINWA MEDICAL SDN BHD, PULAU PINANG","WINWA MEDICAL SDN BHD, PULAU PINANG",14/12/2020,14/12/2025,New Product Registration
68,202008254162T,MAL201261 01TC,C-NOSE CHEWABLE TABLET,"DZR PHARMA MANUFACTURE SDN BHD, KEDAH","DS PHARMA HERBS SDN BHD, KEDAH",14/12/2020,14/12/2025,New Product Registration
69,202008144123T,MAL201261 02T,TWENTY2 CURCUMA CINNAMON CAPSULE,"QD HERBS SDN BHD, PERAK","QD HERBS SDN BHD, PERAK",14/12/2020,14/12/2025,New Product Registration
70,202008184136T,MAL201261 03TCR,NUTRINLIFE GLUSPORT CAPSULE,"BIOFUNCTION MARKETING SDN BHD, SELANGOR","HEALTH GENESIS CORPORATION, UNITED STATES",14/12/2020,14/12/2025,New Product Registration
71,202006043797T,MAL201261 04TC,QI TONGKAT ALI EXTRACT 125MG CAPSULE,"BOTANICALAB SDN BHD, SELANGOR","REISHILAB SDN BHD, SELANGOR",14/12/2020,14/12/2025,New Product Registration
72,202008064079T,MAL201261 05TC,ZUYYIN LARESD TABLET,"ZUYYIN HOMEOPATHY CENTRE, SELANGOR","SARI TANI DESA SDN BHD, SELANGOR",14/12/2020,14/12/2025,New Product Registration
73,202006253884T,MAL201261 06TC,HURIX’S 1000 JOINT & MUSCLE PAIN RELIEF CAPSULE,"JIN BIN CORPORATION SDN BHD, KEDAH","J.B. PHARMACY GROUP SDN BHD, KEDAH",14/12/2020,14/12/2025,New Product Registration
74,202007023921T,MAL201261 07TC,ZEMVELO SACHA INCHI OIL 525MG SOFTGEL,"SACHA INCHI MARKETING SDN BHD, JOHOR","HIGH VALLEY CONTRACT MANUFACTURI NG (GMP) SDN BHD, SELANGOR",14/12/2020,14/12/2025,New Product Registration
75,202008144124T,MAL201261 08TC,BIOCARE TIGER MILK MUSHROOM 420MG CAPSULE,"TST (ASIA) SDN BHD, PERAK","TST BIOCEUTICAL SDN BHD, PERAK",14/12/2020,14/12/2025,New Product Registration
76,202006253892T,MAL201261 09T,DYNA GRAPE SEED EXTRACT,"DIAMOND INTEREST SDN BHD, PULAU PINANG","DYNAPHARM HERBAL (M) SDN BHD, PULAU PINANG",14/12/2020,14/12/2025,New Product Registration
77,202006253900T,MAL201261 10TC,SEJAGAT OLIVE OIL 500MG SOFTGEL,"NMY MANUFACTURING SDN BHD, SELANGOR","HALAGEL PLANT (M) SDN BHD, KEDAH",14/12/2020,14/12/2025,New Product Registration
78,202008104097T,MAL201261 11T,GNC BEET ROOT 500MG CAPSULE,"ONI GLOBAL BRANDS (MALAYSIA) SDN BHD, KUALA LUMPUR","NUTRA MANUFACTURI NG LLC, UNITED STATES",14/12/2020,14/12/2025,New Product Registration
79,202005203750T,MAL201261 12T,TH NEOBUN PLASTER BERUBAT CAPSICUM,"THP MEDICAL SDN. BHD, PULAU PINANG","THP MEDICAL SDN. BHD, PULAU PINANG",14/12/2020,14/12/2025,New Product Registration
80,202006133831T,MAL201261 13T,BONLIFE BIO LINGZHI EXTRACT 315MG CAPSULE,"ORIENT LABORATORIES SDN BHD, SELANGOR","ORIENT LABORATORIES SDN BHD, SELANGOR",14/12/2020,14/12/2025,New Product Registration
81,202008144125T,MAL201261 14TC,OASIS WELLNESS CORDYCEPS SINENSIS 300MG CAPSULES,"BIORESIS SDN BHD, PERAK","WAN YEEN TRADING SDN BHD, PERAK",14/12/2020,14/12/2025,New Product Registration
82,202006133830T,MAL201261 15T,CL ORGANIC SACHA INCHI OIL 500MG SOFTGEL,"ORIENT LABORATORIES SDN BHD, SELANGOR","ORIENT LABORATORIES SDN BHD, SELANGOR",14/12/2020,14/12/2025,New Product Registration
83,202006153844T,MAL201261 16TC,INSAAN INPPAR CHEWABLE TABLET,"AL-INSAAN SDN BHD, SELANGOR","THE ORIGIN FOODS SDN BHD, SELANGOR",14/12/2020,14/12/2025,New Product Registration
84,202008134113T,MAL201261 17TC,MAGBLUE HABBATUS SAUDA 400MG KAPSUL,"ORIHERB MARKETING, KELANTAN","RPM HERBS INDUSTRIES, KELANTAN",14/12/2020,14/12/2025,New Product Registration
85,202006043796T,MAL201261 18TC,QI PHYLLANTHUS NIRURI EXTRACT 125MG CAPSULE,"BOTANICALAB SDN BHD, SELANGOR","REISHILAB SDN BHD, SELANGOR",14/12/2020,14/12/2025,New Product Registration
86,202008134117T,MAL201261 19TC,SYIFANIE OLIVE OIL 500MG SOFTGEL,"RIZQ TEJA RESOURCES, SELANGOR","MINSYAM PHARMA SDN BHD, SELANGOR",14/12/2020,14/12/2025,New Product Registration
87,202005203751T,MAL201261 20T,PLASTER BERUBAT NEO CAPSICUM,"THP MEDICAL SDN BHD, PULAU PINANG","THP MEDICAL SDN BHD, PULAU PINANG",14/12/2020,14/12/2025,New Product Registration
88,202006253899T,MAL201261 21TC,SEJAGAT HABBATUS SAUDA 500MG SOFTGEL,"NMY MANUFACTURING SDN BHD, SELANGOR","HALAGEL PLANT (M) SDN BHD, KEDAH",14/12/2020,14/12/2025,New Product Registration
370,201905232162A,MAL210160 08ACZ,TELSTRAN® Tablet 40mg,Y.S.P. INDUSTRIES (M) SDN BHD,INTAS PHARMACEUTI CALS LIMITED (INDIA),1/8/2021,1/8/2026,New Registration Approval
371,201904192052A,MAL210160 07ACZ,MYCLOB 0.05% (CLOBETASOL PROPIONATE,SYNERRV SDN BHD,Oxalis Lab (INDIA),1/8/2021,1/8/2026,New Registration Approval
372,201903211939A,MAL210160 06AZ,Zithrolide 500mg Powder for Solution for Infusion,PHARMANIAGA LIFESCIENCE SDN. BHD.,PHARMANIAG A LIFESCIENCE SDN. BHD. (MALAYSIA),1/8/2021,1/8/2026,New Registration Approval
373,201906282311A,MAL210160 10AZ,VASTICURE-10 (Rosuvastatin Tablets 10mg),HEALOL PHARMACEUTICA LS SDN. BHD.,GRACURE PHARMACEUTI CALS LTD. (INDIA),1/8/2021,1/8/2026,New Registration Approval
374,201910012758A,MAL210160 11AZ,Silkay 125mg Tablet,MEDISPEC (M) SDN.BHD,UNISON LABORATORIE S CO.LTD (THAILAND),1/8/2021,1/8/2026,New Registration Approval
375,201910292869A,MAL210160 12ACZ,hovid-Megestrol Oral Suspension 40mg/ml,HOVID BERHAD,"WINSTON MEDICAL SUPPLY CO., LTD (TAIWAN)",1/8/2021,1/8/2026,New Registration Approval
376,201911122952A,MAL210160 13AZ,OLTAD 20MG FILM COATED TABLETS,KOMEDIC SDN BHD,MEDOCHEMIE LTD (CENTRAL FACTORY) (CYPRUS),1/8/2021,1/8/2026,New Registration Approval
377,201910302875A,MAL210160 02AZ,Pontevia 120 mg solution for injection in pre- filled pen,ELI LILLY (MALAYSIA) SDN. BHD.,ELI LILLY AND COMPANY (UNITED STATES),1/8/2021,1/8/2026,New Registration Approval
378,201910302876A,MAL210160 01AZ,Pontevia 120 mg solution for injection in pre- filled syringe,ELI LILLY (MALAYSIA) SDN. BHD.,ELI LILLY AND COMPANY (UNITED STATES),1/8/2021,1/8/2026,New Registration Approval
379,201910172835A,MAL210160 05AZ,Fulphila 6 mg/ 0.6 mL Solution for Injection,MYLAN HEALTHCARE SDN. BHD.,Biocon Limited (INDIA),1/8/2021,1/8/2026,New Registration Approval
380,201912033095A,MAL210160 15AZ,Lonfilis F.C. Tablets 20mg (tadalafil),MEDISPEC (M) SDN.BHD,STANDARD CHEM & PHARM CO LTD (TAIWAN),1/8/2021,1/8/2026,New Registration Approval
381,201911202999A,MAL210160 14ACZ,DIQUAS-S ophthalmic solution 3%,SANTEN PHARMA MALAYSIA SDN. BHD.,"HUONS CO.,LTD. (KOREA,SOUT H)",1/8/2021,1/8/2026,New Registration Approval
382,201912193177A,MAL210160 16AZ,CYMBALOX 30 mg Delayed- Release Capsules,GENPHARMA SDN. BHD,Alembic Pharmaceutic als Limited (Formulation Division) (INDIA),1/8/2021,1/8/2026,New Registration Approval
383,201912193178A,MAL210160 17AZ,CYMBALOX 60 mg Delayed- Release Capsules,GENPHARMA SDN. BHD,Alembic Pharmaceutic als Limited (Formulation Division) (INDIA),1/8/2021,1/8/2026,New Registration Approval
384,202002043386A,MAL210160 04AZ,RapiLog Insulin Aspart Injection (rDNA origin),BIOCON SDN BHD,BIOCON SDN BHD (MALAYSIA),1/8/2021,1/8/2026,New Registration Approval
385,202002043387A,MAL210160 03AZ,RapiLog One Insulin Aspart Injection (rDNA,BIOCON SDN BHD,BIOCON SDN BHD (MALAYSIA),1/8/2021,1/8/2026,New Registration Approval
386,202005193740X,MAL210160 19XCZ,Hovid Adamol Film-Coated Tablets 500mg,HOVID BERHAD,ATRA PHARMACEUTI CALS LTD. (INDIA),1/8/2021,1/8/2026,New Registration Approval
387,202003023501AE,MAL210160 23AE,REMAFEN ENTERIC- COATED TABLET 25MG,XEPA-SOUL PATTINSON (MALAYSIA) SDN BHD,XEPA-SOUL PATTINSON (MALAYSIA) SDN BHD (MALAYSIA),1/8/2021,1/8/2026,New Registration Approval
388,202006033794X,MAL210160 21XC,Gastotac Suspension,Powerlife (m) Sdn Bhd,WINWA MEDICAL SDN. BHD. (MALAYSIA),1/8/2021,1/8/2026,New Registration Approval
389,202006233871HA,MAL210160 26HA,OMS MECTIN 6MG/G PREMIX POWDER,Osmosis Nutrition Sdn Bhd,Osmosis Nutrition Sdn Bhd (MALAYSIA),1/8/2021,1/8/2026,New Registration Approval
390,202006223865X,MAL210160 20XCZ,ConsiQare Oral Solution 667mg/ml.,XEPA-SOUL PATTINSON (MALAYSIA) SDN BHD,XEPA-SOUL PATTINSON (MALAYSIA) SDN BHD (MALAYSIA),1/8/2021,1/8/2026,New Registration Approval
391,202006013772AE,MAL210160 24AE,YSP Hydroxychloroq uine Film Coated Tablet,Y.S.P. INDUSTRIES (M) SDN BHD,Y.S.P. INDUSTRIES (M) SDN BHD (MALAYSIA),1/8/2021,1/8/2026,New Registration Approval
392,202007234004X,MAL210160 18XCZ,BioWell TERRAFAST 500mg TABLET,Vismedic Sdn. Bhd.,AV MANUFACTUR ING SDN.BHD (MALAYSIA),1/8/2021,1/8/2026,New Registration Approval
393,202009294294HA,MAL210160 28HA,"TIMISIN, 250mg/ml, Solution for use in drinking",N.S. LABORATORY SDN. BHD.,N.S. LABORATORY SDN. BHD. (MALAYSIA),1/8/2021,1/8/2026,New Registration Approval
394,202008264167HA,MAL210160 25HA,ENRO-VET 200 mg/ml ORAL SOLUTION,Life Biopharma Sdn. Bhd.,Life Biopharma Sdn. Bhd. (MALAYSIA),1/8/2021,1/8/2026,New Registration Approval
395,202009294295HA,MAL210160 27HA,"COSAMOX, 500mg/g, Powder for use in drinking",N.S. LABORATORY SDN. BHD.,N.S. LABORATORY SDN. BHD. (MALAYSIA),1/8/2021,1/8/2026,New Registration Approval
396,202012154609A,MAL210160 22AZ,COMIRNATY Concentrate for Dispersion for Injection,PFIZER (MALAYSIA) SDN. BHD.,Pfizer Manufacturing Belgium NV (BELGIUM),1/8/2021,1/8/2022,New Registration Approval
1,202006263906N,MAL2011611 6NC,SWISSE ULTIBOOST VITAMIN C 1000MG TABLET,"HEALTH AND HAPPINESS (H&H) MALAYSIA SDN. BHD.,","LIPA PHARMACEUTIC ALS LIMITED, AUSTRALIA",18/11/2020,18/11/2025,New Product Registration
